UCS,γd (kN/m3),ne (%),vp (m/s),HBN (kgf/mm2)
36.64,24.07,3.14,4964.44,975.79
30.72,24.05,3.21,4905.59,762.06
29.38,24.03,3.37,4830.52,695.82
28.22,24,3.53,4645.79,637.86
29.61,24.27,3.48,4845.55,586.86
27.24,24.23,3.73,4690.47,563.62
26.65,24.21,3.95,4284.51,433.68
26.71,24.03,3.73,4738.3,433.68
22.05,23.95,4.06,4334.33,378.67
21.13,23.84,4.29,3876.24,366.56
38.18,23.49,3.16,4931.86,727.81
29.01,23.06,4.13,4818.39,611.56
25.05,22.94,4.88,4713.45,541.73
24.17,22.71,5.73,4621.48,483.21
26.17,22.53,4.39,4762.16,391.4
23.58,22.52,5.66,4640.35,355.01
22.18,22.49,6.66,4473.04,346.71
23.89,23.78,4.6,4498.85,344
20.75,23.7,6.4,4163.82,333.5
19.18,23.57,7.75,3770.74,271.81
22.16,22.58,4.19,4845.93,893.88
19.52,22.48,4.57,4794.15,762.06
18.22,22.15,5.07,4714.02,611.56
17.85,22.01,5.6,4578.96,586.86
18.15,23.27,5.04,4740.25,611.56
16.94,23.25,5.71,4639.86,586.86
15.82,23.21,6.54,4513.11,521.09
17.38,23.14,5.77,4671.77,483.21
13.93,23.04,6.65,4185.24,465.8
11.66,22.85,7.55,3759.79,449.31
43.2,25.22,0.63,5290.81,838.22
30.83,25.07,0.7,5116.82,695.82
28.19,24.95,0.78,4993.48,665.9
23.81,24.76,0.87,4859.59,637.86
29.59,25.29,0.74,5061.91,563.62
25.41,25.28,0.84,4880.37,483.21
22.46,25.25,0.93,4711.09,465.8
24.36,24.93,0.87,4645.05,449.31
22.59,24.85,0.99,4272.91,433.68
19.67,24.69,1.11,3919.26,378.67
37.54,25.1,0.44,5264.22,695.82
27.31,24.98,0.53,5148.04,541.73
24.05,24.83,0.63,5047.94,465.8
22.19,24.58,0.78,4928.61,418.86
23.86,24.68,0.74,5061.65,391.4
21.77,24.67,0.89,4888.37,378.67
21.06,24.64,1,4501.99,355.01
19.61,25.21,0.9,4810.27,344
15.75,25.14,1.21,4420.91,304.72
15.3,24.94,1.32,3987.41,295.95
32.25,25.43,0.15,5090.87,838.22
29.18,25.04,0.36,4959.56,762.06
25.15,25.01,0.37,4840.79,563.62
24.84,24.91,0.51,4591.7,541.73
28.02,25.16,0.43,4884.35,501.62
23.1,25.15,0.47,4677.25,465.8
21.99,25.12,0.62,4429.29,433.68
26.15,25.57,0.55,4854.55,418.86
20.4,25.48,0.6,4635.78,404.78
19.22,25.33,0.93,4262.11,344
38.49,25.4,0.37,5347.06,926.39
32.19,25.27,0.42,5173.13,762.06
32.03,25.13,0.49,5082.41,586.86
29.93,24.99,0.57,5013.99,541.73
29.86,25.78,0.44,5040.47,521.09
27.34,25.77,0.54,4861.91,501.62
25.95,25.74,0.61,4771.32,465.8
26.54,25.13,0.49,4912.53,404.78
24.78,25.04,0.63,4576.53,366.56
22.29,24.9,0.69,4229.14,344
